,filename,fractal_dimension,entropy,lacunarity,SRE,LRE,RPC,Minor_Axis_Length,Solidity,Integrated_Density,Label
0,GBM-Grade IV-3_0.jpg,1.4444738760979503,4.6500022143323285,0.0148956640760211,2.348,601.961,16.775,2.230247032,0.94366165,108158997,1
1,GBM-Grade IV-3_1.jpg,1.44011575229031,5.032665596097687,0.0172816358188248,2.264,1405.145,11.419,2.225404608,0.947278186,112048111,1
2,GBM-Grade IV-3_2.jpg,1.4041991264625022,4.862398187023329,0.016931078077643,2.398,800.447,15.117,2.481943187,0.939995386,88179527,1
3,GBM-Grade IV-3_3.jpg,1.4208608962926983,4.613362851500104,0.015308336478093,2.205,45.089,27.299,2.25697703,0.941925343,107741660,1
4,GBM-Grade IV-3_4.jpg,1.416947391856505,5.177934706963903,0.0174170581644191,2.2,886.111,13.628,2.462837535,0.940594638,91366456,1
5,GBM-Grade IV Age-47_0.jpg,1.712884719491157,6.10272394237504,0.0203736002146306,2.361,34.319,32.23,3.178160647,0.883100382,93433476,1
6,GBM-Grade IV Age-47_1.jpg,1.6708885630194092,5.065498991251191,0.0157960383120906,2.472,28.537,34.11,2.637863397,0.885736264,106716969,1
7,GBM-Grade IV Age-47_2.jpg,1.669618117188225,5.777364990762195,0.0189352158644178,2.394,65.667,28.854,2.777228803,0.899358158,110523437,1
8,GBM-Grade IV Age-47_3.jpg,1.6579460906995478,4.912534586605477,0.0153385206240914,2.476,38.874,32.737,2.925127273,0.892426096,107269841,1
9,GBM-Grade IV Age-47_4.jpg,1.6612022266302768,5.112502197686934,0.0157314603493082,2.537,27.34,35.184,2.507144097,0.891305886,115596009,1
10,GBM-Grade IV-C7_0.jpg,1.3895146053468406,5.941619082352754,0.0272521630278604,2.405,26.777,31.122,1.538043994,0.968014363,54103529,1
11,GBM-Grade IV-C7_1.jpg,1.3824892908857147,6.078757210318983,0.0279281250427588,2.445,26.386,31.662,1.439056582,0.97133829,64719802,1
12,GBM-Grade IV-C7_2.jpg,1.3517422075808807,5.626879315721959,0.0253595222477609,2.437,24.97,31.81,1.418517291,0.966696536,62605800,1
13,GBM-Grade IV-C7_3.jpg,1.3904906337258436,6.1434861722312135,0.0282771521861656,2.433,26.456,31.576,1.416720372,0.96838953,58913538,1
